,title,url
0,Seasonal Adventures with Olaf,https://create.kahoot.it/details/f2b79c59-eade-4825-971c-f7471bc36dce
1,The History of Lantern Festivals with Tangled,https://create.kahoot.it/details/36a147cc-b470-4168-a33d-cddfe7497489
2,Get to Know Your Emotions ,https://create.kahoot.it/details/f237a741-8b5b-4815-ac2d-b6cbaa592f48
3,The History of Recording Music with The Aristocats ,https://create.kahoot.it/details/6aee6d5d-5bb5-4661-a84d-3b1b5ec17315
4,Forgiveness with Raya and Namaari,https://create.kahoot.it/details/4762a501-6347-4a7b-ae48-3a1b0b580982
5,Soft and Hard Skills with Zootopia,https://create.kahoot.it/details/d6a37100-6b29-4fc1-86e4-379c0fa00438
6,Dealing with Difficult Emotions with Up,https://create.kahoot.it/details/6b3130de-55b0-4d4c-b65c-dbd9d5829cc9
7, Explore the Italian Coast with Luca,https://create.kahoot.it/details/208853c9-0789-4a44-a671-84e8db8af757
8,City Life with Zootopia,https://create.kahoot.it/details/a0745656-738f-4683-a283-756a3e36cce6
9,The Music of Tangled ,https://create.kahoot.it/details/ba2db62e-2760-4642-a71b-21f69b4832c5
10,Friendship with Raya and Sisu,https://create.kahoot.it/details/8c0992e6-7497-439e-9b00-0a30ee190515
11,Trust with Raya and Sisu,https://create.kahoot.it/details/2cbfec1c-c4d7-46be-904e-683d852d59e0
12,Teamwork with Raya and Her Friends,https://create.kahoot.it/details/d20431e3-7e71-4da0-8715-07c5b3859a08
13,Empathy and Compassion with Up,https://create.kahoot.it/details/a7aa1fb6-eca0-4a78-b2ad-dd8ef3fd11d8
14,Learn About Italian Culture with Luca,https://create.kahoot.it/details/f9d583c9-8f94-4ae1-8df0-cb7fccca1f06
15,Art in Paris with The Aristocats,https://create.kahoot.it/details/d06ea027-0216-4687-a645-fe5d7af01154
16,Find Your Spark with Pixar's Soul,https://create.kahoot.it/details/5855e1d7-9b0b-4397-9fba-3c7ac3dd34c2
17,Always Let Your Conscience Be Your Guide!,https://create.kahoot.it/details/59ee37a4-0a4f-4060-9614-bfb753c3905c
18,Share Love with Disney!,https://create.kahoot.it/details/92b25cc0-b585-4644-92e8-43592474e387
19,Practice Appreciation with Pixar's Soul,https://create.kahoot.it/details/121a1e11-342a-4a88-81d8-b9f0d94f6ef1
20,Expressing Feelings with Luca,https://create.kahoot.it/details/8767cb59-7999-493c-903e-a58affbd225e
21,Be Curious with Luca and Friends,https://create.kahoot.it/details/7c4e7fbe-62ea-42f2-a373-0b688f786938
22,Explore the History of Music with Soul,https://create.kahoot.it/details/b5f207f5-db0b-4e90-b95c-2b61bb2f2cef
23,The Jazz Age with Tiana ,https://create.kahoot.it/details/5852aaa5-4bd8-4941-af56-f46f0d24403b
24,Disney Love Songs Trivia,https://create.kahoot.it/details/ecec2fbc-3d3f-4033-8bec-9de9c396e2c1
25,Guess the Disney Princess Song!,https://create.kahoot.it/details/950a565d-bc0d-468e-8af1-be6b2cdba4fb
26,History and Cultures of the Pacific Islands,https://create.kahoot.it/details/bdc2a80a-f577-4fa2-93c8-b0996da583be
27,Discover London with Peter Pan and Friends,https://create.kahoot.it/details/26462b6a-4aa9-4250-8b32-b26e3d77d5e7
28,Voyage Across Oceania with Moana,https://create.kahoot.it/details/1bab5aa5-04ed-41f6-b4d6-8fe4d54dc589
29,Explore Africa with Simba,https://create.kahoot.it/details/6a9b7dcc-af19-40e9-8b1a-e1005b220c19
30,Discover The Seven Continents with Disney,https://create.kahoot.it/details/3fa569c1-6ef1-49f9-a164-22e5dae3ad89
31,Explore the Mediterranean with Ariel,https://create.kahoot.it/details/4eb04c99-6fb3-48fe-85ea-86cd53080079
32,Indigenous Cultures in North America,https://create.kahoot.it/details/6f5a874a-4989-4080-ae2e-873e38e83bcf
33,Ancient Landmarks with Aladdin and Jasmine,https://create.kahoot.it/details/54c8c273-0ec7-4c19-95a3-185ba2298063
34,Explore the history of ice skating with Belle!,https://create.kahoot.it/details/7a2652fe-4734-47bf-b580-08e7a336d904
35,Historic Holiday Traditions with Mickey and friends,https://create.kahoot.it/details/5117426c-5830-42bf-8889-3298df335ded
36,The Winter Solstice with Mulan,https://create.kahoot.it/details/ac07f31b-d0c5-4072-a9a6-19a69d017d62
